"Weather History","Historia Pogody"
"Weather","Pogoda"
"Town","Miasto"
"Description","Opis pogody"
"Current Temperature","Obecna temperatura"
"Max Temperature","Temperatura maksymalna"
"Min Temperature","Temperatura minimalna"
"Date And Time Of The Weather Check","Czas i data sprawdzenia pogody"
"Weather Module","Moduł Pogody"
"API Key","Klucz API"
"Weather API","API Pogodowe"
"Enable Module","Włącz Moduł"
"Module Configuration","Ustawienia Modułu"
"Yes","Tak"
"No","Nie"
"Max temp. ","Maksymalna temp. "
"Min temp. ","Minimalna temp. "
"Wind Speed: ","Prędkość wiatru: "
